delta,FOB,perdas_MW,geracao_MW,considerar_fluxo,considerar_perdas,considerar_rampa,considerar_emissao,fluxo_L0_0,fluxo_L0_1,fluxo_L0_2,fluxo_L1_0,fluxo_L1_1,fluxo_L1_2,fluxo_L2_0,fluxo_L2_1,fluxo_L2_2,fluxo_L3_0,fluxo_L3_1,fluxo_L3_2,ger_GT1_0,ger_GT1_1,ger_GT1_2,ger_GT2_0,ger_GT2_1,ger_GT2_2,ger_GF2_0,ger_GF2_1,ger_GF2_2,ger_GT3_0,ger_GT3_1,ger_GT3_2,ger_GF3_0,ger_GF3_1,ger_GF3_2,execucao
0.44,3575.6000000000004,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,44
0.45,3593.0,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,45
0.46,3610.4,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,46
0.47,3627.8,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,47
0.48,3645.2,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,48
0.49,3662.6000000000004,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,49
0.5,3680.0,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,50
0.51,3697.3999999999996,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,51
0.52,3714.8,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,52
0.53,3732.2,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,53
0.54,3749.6,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,54
