simulacao,tipo,id,tempo,valor,execucao
13VVVVV_None,geracao,GT3,0.0,17.3560816326531,13
13VVVVV_None,geracao,GT3,1.0,20.3560816326531,13
13VVVVV_None,geracao,GT3,2.0,10.3560816326531,13
13VVVVV_None,fluxo,L0,0.0,6.0,13
13VVVVV_None,fluxo,L0,1.0,6.0,13
13VVVVV_None,fluxo,L0,2.0,3.59265859212857,13
13VVVVV_None,fluxo,L1,0.0,12.0,13
13VVVVV_None,fluxo,L1,1.0,12.0,13
13VVVVV_None,fluxo,L1,2.0,12.0,13
13VVVVV_None,fluxo,L2,0.0,12.0,13
13VVVVV_None,fluxo,L2,1.0,12.0,13
13VVVVV_None,fluxo,L2,2.0,12.0,13
13VVVVV_None,fluxo,L3,0.0,-10.0,13
13VVVVV_None,fluxo,L3,1.0,-10.0,13
13VVVVV_None,fluxo,L3,2.0,-8.071136244337431,13
13VVVVV_None,deficit,B2,0.0,0.0,13
13VVVVV_None,deficit,B3,0.0,0.0,13
13VVVVV_None,deficit,B2,1.0,0.0,13
13VVVVV_None,deficit,B3,1.0,0.0,13
13VVVVV_None,deficit,B2,2.0,0.0,13
13VVVVV_None,deficit,B3,2.0,0.0,13
14VVVVV_None,FOB,total,,3105.6044091510194,14
14VVVVV_None,geracao,GT1,0.0,31.565223140495902,14
14VVVVV_None,geracao,GT1,1.0,31.565223140495902,14
14VVVVV_None,geracao,GT1,2.0,28.8928128134279,14
14VVVVV_None,geracao,GT2,0.0,24.6173047731489,14
14VVVVV_None,geracao,GT2,1.0,27.6173047731489,14
14VVVVV_None,geracao,GT2,2.0,23.617304773148902,14
14VVVVV_None,geracao,GT3,0.0,17.3560816326531,14
14VVVVV_None,geracao,GT3,1.0,20.3560816326531,14
14VVVVV_None,geracao,GT3,2.0,10.3560816326531,14
14VVVVV_None,fluxo,L0,0.0,6.0,14
14VVVVV_None,fluxo,L0,1.0,6.0,14
14VVVVV_None,fluxo,L0,2.0,3.59265859212857,14
14VVVVV_None,fluxo,L1,0.0,12.0,14
14VVVVV_None,fluxo,L1,1.0,12.0,14
14VVVVV_None,fluxo,L1,2.0,12.0,14
14VVVVV_None,fluxo,L2,0.0,12.0,14
14VVVVV_None,fluxo,L2,1.0,12.0,14
14VVVVV_None,fluxo,L2,2.0,12.0,14
14VVVVV_None,fluxo,L3,0.0,-10.0,14
14VVVVV_None,fluxo,L3,1.0,-10.0,14
