restricao,indice,dual,caso
limite_deficit,"('B2', 2)",0.0,6
limite_deficit,"('B3', 0)",0.0,6
limite_deficit,"('B3', 1)",0.0,6
limite_deficit,"('B3', 2)",0.0,6
rampa_inf,"('GT1', 1)",0.0,6
rampa_inf,"('GT1', 2)",0.0,6
rampa_inf,"('GT2', 1)",0.0,6
rampa_inf,"('GT2', 2)",-1999.99999999213,6
rampa_inf,"('GT3', 1)",0.0,6
rampa_inf,"('GT3', 2)",-57.0588235281557,6
rampa_sup,"('GT1', 1)",0.0,6
rampa_sup,"('GT1', 2)",0.0,6
rampa_sup,"('GT2', 1)",0.0,6
rampa_sup,"('GT2', 2)",0.0,6
rampa_sup,"('GT3', 1)",0.0,6
rampa_sup,"('GT3', 2)",0.0,6
restr_fluxo_sup,"('L0', 0)",-2869.69696968602,6
restr_fluxo_sup,"('L0', 1)",-8991.08734402856,6
restr_fluxo_sup,"('L0', 2)",0.0,6
restr_fluxo_sup,"('L1', 0)",-2606.00000001395,6
restr_fluxo_sup,"('L1', 1)",0.0,6
restr_fluxo_sup,"('L1', 2)",0.0,6
restr_fluxo_sup,"('L2', 0)",0.0,6
restr_fluxo_sup,"('L2', 1)",0.0,6
restr_fluxo_sup,"('L2', 2)",0.0,6
restr_fluxo_sup,"('L3', 0)",0.0,6
restr_fluxo_sup,"('L3', 1)",0.0,6
restr_fluxo_sup,"('L3', 2)",0.0,6
restr_fluxo_inf,"('L0', 0)",0.0,6
restr_fluxo_inf,"('L0', 1)",0.0,6
restr_fluxo_inf,"('L0', 2)",0.0,6
restr_fluxo_inf,"('L1', 0)",0.0,6
restr_fluxo_inf,"('L1', 1)",0.0,6
restr_fluxo_inf,"('L1', 2)",0.0,6
restr_fluxo_inf,"('L2', 0)",0.0,6
restr_fluxo_inf,"('L2', 1)",0.0,6
restr_fluxo_inf,"('L2', 2)",0.0,6
restr_fluxo_inf,"('L3', 0)",0.0,6
restr_fluxo_inf,"('L3', 1)",0.0,6
restr_fluxo_inf,"('L3', 2)",0.0,6
balanco,"('B1', 0)",294.999999998218,6
balanco,"('B1', 1)",294.999999997099,6
balanco,"('B1', 2)",295.000000005007,6
balanco,"('B2', 0)",2294.99999999593,6
balanco,"('B2', 1)",4294.99999999732,6
balanco,"('B2', 2)",295.000000004307,6
balanco,"('B3', 0)",1885.00000000175,6
balanco,"('B3', 1)",1942.05882352719,6
balanco,"('B3', 2)",295.000000005122,6
limites,"('GT1', 0)",0.0,7
limites,"('GT1', 1)",0.0,7
limites,"('GT1', 2)",0.0,7
limites,"('GT2', 0)",0.0,7
limites,"('GT2', 1)",0.0,7
limites,"('GT2', 2)",0.0,7
limites,"('GT3', 0)",0.0,7
limites,"('GT3', 1)",0.0,7
limites,"('GT3', 2)",1562.94117646809,7
limite_deficit,"('B1', 0)",0.0,7
limite_deficit,"('B1', 1)",0.0,7
limite_deficit,"('B1', 2)",0.0,7
limite_deficit,"('B2', 0)",0.0,7
limite_deficit,"('B2', 1)",0.0,7
limite_deficit,"('B2', 2)",0.0,7
limite_deficit,"('B3', 0)",0.0,7
limite_deficit,"('B3', 1)",0.0,7
limite_deficit,"('B3', 2)",0.0,7
rampa_inf,"('GT1', 1)",0.0,7
rampa_inf,"('GT1', 2)",0.0,7
rampa_inf,"('GT2', 1)",0.0,7
rampa_inf,"('GT2', 2)",-1999.99999999364,7
rampa_inf,"('GT3', 1)",0.0,7
rampa_inf,"('GT3', 2)",-42.058823529583,7
rampa_sup,"('GT1', 1)",0.0,7
rampa_sup,"('GT1', 2)",0.0,7
rampa_sup,"('GT2', 1)",0.0,7
rampa_sup,"('GT2', 2)",0.0,7
rampa_sup,"('GT3', 1)",0.0,7
rampa_sup,"('GT3', 2)",0.0,7
restr_fluxo_sup,"('L0', 0)",-2837.87878786016,7
restr_fluxo_sup,"('L0', 1)",-8991.08734402409,7
restr_fluxo_sup,"('L0', 2)",0.0,7
restr_fluxo_sup,"('L1', 0)",-2657.00000001778,7
restr_fluxo_sup,"('L1', 1)",0.0,7
restr_fluxo_sup,"('L1', 2)",0.0,7
restr_fluxo_sup,"('L2', 0)",0.0,7
restr_fluxo_sup,"('L2', 1)",0.0,7
restr_fluxo_sup,"('L2', 2)",0.0,7
restr_fluxo_sup,"('L3', 0)",0.0,7
restr_fluxo_sup,"('L3', 1)",0.0,7
restr_fluxo_sup,"('L3', 2)",0.0,7
restr_fluxo_inf,"('L0', 0)",0.0,7
restr_fluxo_inf,"('L0', 1)",0.0,7
restr_fluxo_inf,"('L0', 2)",0.0,7
restr_fluxo_inf,"('L1', 0)",0.0,7
restr_fluxo_inf,"('L1', 1)",0.0,7
restr_fluxo_inf,"('L1', 2)",0.0,7
restr_fluxo_inf,"('L2', 0)",0.0,7
restr_fluxo_inf,"('L2', 1)",0.0,7
restr_fluxo_inf,"('L2', 2)",0.0,7
restr_fluxo_inf,"('L3', 0)",0.0,7
restr_fluxo_inf,"('L3', 1)",0.0,7
restr_fluxo_inf,"('L3', 2)",0.0,7
balanco,"('B1', 0)",302.499999998351,7
balanco,"('B1', 1)",302.499999999591,7
balanco,"('B1', 2)",302.500000002479,7
balanco,"('B2', 0)",2302.49999999604,7
balanco,"('B2', 1)",4302.49999999627,7
balanco,"('B2', 2)",302.500000004191,7
balanco,"('B3', 0)",1907.50000000198,7
balanco,"('B3', 1)",1949.55882352882,7
balanco,"('B3', 2)",302.500000002328,7
limites,"('GT1', 0)",0.0,8
limites,"('GT1', 1)",0.0,8
limites,"('GT1', 2)",0.0,8
limites,"('GT2', 0)",0.0,8
limites,"('GT2', 1)",0.0,8
limites,"('GT2', 2)",0.0,8
limites,"('GT3', 0)",0.0,8
limites,"('GT3', 1)",0.0,8
limites,"('GT3', 2)",1592.94117646767,8
limite_deficit,"('B1', 0)",0.0,8
limite_deficit,"('B1', 1)",0.0,8
limite_deficit,"('B1', 2)",0.0,8
limite_deficit,"('B2', 0)",0.0,8
limite_deficit,"('B2', 1)",0.0,8
limite_deficit,"('B2', 2)",0.0,8
limite_deficit,"('B3', 0)",0.0,8
limite_deficit,"('B3', 1)",0.0,8
limite_deficit,"('B3', 2)",0.0,8
rampa_inf,"('GT1', 1)",0.0,8
rampa_inf,"('GT1', 2)",0.0,8
rampa_inf,"('GT2', 1)",0.0,8
rampa_inf,"('GT2', 2)",-1999.99999999939,8
rampa_inf,"('GT3', 1)",0.0,8
rampa_inf,"('GT3', 2)",-27.0588235306952,8
rampa_sup,"('GT1', 1)",0.0,8
rampa_sup,"('GT1', 2)",0.0,8
rampa_sup,"('GT2', 1)",0.0,8
rampa_sup,"('GT2', 2)",0.0,8
rampa_sup,"('GT3', 1)",0.0,8
rampa_sup,"('GT3', 2)",0.0,8
restr_fluxo_sup,"('L0', 0)",-2806.0606060517,8
restr_fluxo_sup,"('L0', 1)",-8991.08734402515,8
restr_fluxo_sup,"('L0', 2)",0.0,8
restr_fluxo_sup,"('L1', 0)",-2708.00000000897,8
restr_fluxo_sup,"('L1', 1)",0.0,8
restr_fluxo_sup,"('L1', 2)",0.0,8
restr_fluxo_sup,"('L2', 0)",0.0,8
restr_fluxo_sup,"('L2', 1)",0.0,8
restr_fluxo_sup,"('L2', 2)",0.0,8
restr_fluxo_sup,"('L3', 0)",0.0,8
restr_fluxo_sup,"('L3', 1)",0.0,8
restr_fluxo_sup,"('L3', 2)",0.0,8
restr_fluxo_inf,"('L0', 0)",0.0,8
restr_fluxo_inf,"('L0', 1)",0.0,8
restr_fluxo_inf,"('L0', 2)",0.0,8
restr_fluxo_inf,"('L1', 0)",0.0,8
restr_fluxo_inf,"('L1', 1)",0.0,8
restr_fluxo_inf,"('L1', 2)",0.0,8
restr_fluxo_inf,"('L2', 0)",0.0,8
restr_fluxo_inf,"('L2', 1)",0.0,8
restr_fluxo_inf,"('L2', 2)",0.0,8
restr_fluxo_inf,"('L3', 0)",0.0,8
restr_fluxo_inf,"('L3', 1)",0.0,8
restr_fluxo_inf,"('L3', 2)",0.0,8
balanco,"('B1', 0)",309.999999999406,8
balanco,"('B1', 1)",310.000000000994,8
balanco,"('B1', 2)",309.999999999799,8
balanco,"('B2', 0)",2309.99999999581,8
balanco,"('B2', 1)",4309.99999999767,8
balanco,"('B2', 2)",310.000000001048,8
balanco,"('B3', 0)",1930.00000000163,8
balanco,"('B3', 1)",1957.05882353021,8
balanco,"('B3', 2)",310.00000000163,8
limites,"('GT1', 0)",0.0,9
limites,"('GT1', 1)",0.0,9
limites,"('GT1', 2)",0.0,9
limites,"('GT2', 0)",0.0,9
limites,"('GT2', 1)",0.0,9
limites,"('GT2', 2)",0.0,9
limites,"('GT3', 0)",0.0,9
limites,"('GT3', 1)",0.0,9
limites,"('GT3', 2)",1622.9411764682,9
limite_deficit,"('B1', 0)",0.0,9
limite_deficit,"('B1', 1)",0.0,9
limite_deficit,"('B1', 2)",0.0,9
limite_deficit,"('B2', 0)",0.0,9
limite_deficit,"('B2', 1)",0.0,9
limite_deficit,"('B2', 2)",0.0,9
limite_deficit,"('B3', 0)",0.0,9
limite_deficit,"('B3', 1)",0.0,9
limite_deficit,"('B3', 2)",0.0,9
rampa_inf,"('GT1', 1)",0.0,9
rampa_inf,"('GT1', 2)",0.0,9
rampa_inf,"('GT2', 1)",0.0,9
